recipe_name,recipe_code,source_file,source_line_no,source_ingredient_name,source_quantity,source_unit,source_servings,upload_ingredient_name,upload_item_code,upload_quantity_for_1_serving,upload_unit,match_status,source_note
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,5,Green chili,200.0,g,100,GREEN CHILLI (INDIAN),PR000016,2,g,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,6,Cooking oil / ghee,2.0,l,100,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,221871,0.02,l,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,7,Cumin seeds,80.0,g,100,SHAN CUMIN WHOLE  10/1KG,GR000554,0.8,g,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,8,Turmeric powder,60.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,0.6,g,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,9,Red chili powder,120.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,1.2,g,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,10,Coriander powder,150.0,g,100,SHAN CORIANDER POWDER  10/1KG,GR000553,1.5,g,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,11,Garam masala,80.0,g,100,SHAN KORMA MASALA 10/1KG,GR001943,0.8,g,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,12,Salt,250.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,2.5,g,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,13,Fresh coriander leaves,500.0,g,100,CORIANDER LEAVES (BDL),PR000062,5,g,mapped,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,14,Water,20.0,l,100,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.2,l,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,1,Dall Mongo,15.0,kg,100,A-TAFGA MELLOW DAL MOONG WHL 1/15KG,180808,150,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,2,Onions,5.0,kg,100,DRY ONION (LOCAL),PR000020,50,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,3,Tomatoes,5.0,kg,100,TOMATO (ADY),PR000005,50,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,4,Garlic,500.0,g,100,GARLIC  (CHINA),PR000018,5,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,5,Green chilies,300.0,g,100,GREEN CHILLI (INDIAN),PR000016,3,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,6,Ginger,250.0,g,100,GINGER (CHINA),PR000019,2.5,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,7,Vegetable oil / Ghee,2.5,l,100,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,221871,0.025,l,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,8,Cumin seeds,100.0,g,100,SHAN CUMIN WHOLE  10/1KG,GR000554,1,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,9,Coriander powder,200.0,g,100,SHAN CORIANDER POWDER  10/1KG,GR000553,2,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,10,Turmeric powder,50.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,0.5,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,11,Red chili powder,100.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,1,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,12,Garam masala,50.0,g,100,SHAN KORMA MASALA 10/1KG,GR001943,0.5,g,mapped,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,13,Fresh coriander leaves,500.0,g,100,CORIANDER LEAVES (BDL),PR000062,5,g,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,1,Fillets,14.2,kg,100,TAFGA WHITE / HAMOUR FISH FILLET  1/1KG,144669,142,g,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,2,Unsalted Butter,1.48,l,100,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,14.8,g,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,3,Fresh Lemon Juice,740.0,ml,100,TFG MOONATY LEMON JUICE 12/1LTR,429366,7.4,ml,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,4,Lemon Zest,45.0,g,100,LEMON (AFRICAN/TURKEY),PR000090,0.45,g,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,5,Minced Garlic,340.0,g,100,GARLIC  (CHINA),PR000018,3.4,g,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,6,Paprika,21.0,g,100,A-AL MANAKEL PAPRIKA SWEET JAR  6/1KG,404682,0.21,g,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,7,Fine Salt,72.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,0.72,g,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,8,Ground Black Pepper,14.0,g,100,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,185836,0.14,g,mapped,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,9,Fresh Parsley,75.0,g,100,Fresh Parsley,RCPMIS-V5-006-FRESHPAR,0.75,g,missing_master,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,10,Fresh Lemon Slices,30.0,pieces,100,LEMON (AFRICAN/TURKEY),PR000090,30,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,1,Firm white fish fillets,17.0,kg,100,RUHI FISH 1/KG,192264,170,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,2,Ginger-garlic paste,300.0,g,100,GARLIC  (CHINA),PR000018,3,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,3,Lemon juice,200.0,ml,100,TFG MOONATY LEMON JUICE 12/1LTR,429366,2,ml,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,4,Red chili powder,100.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,1,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,5,Turmeric powder,50.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,0.5,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,6,Salt,150.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,1.5,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,7,Butter,2.0,kg,100,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,20,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,8,Oil,1.0,l,100,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,221871,0.01,l,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,9,Tomato puree,6.0,kg,100,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,381887,60,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,10,Thick coconut milk,3.5,l,100,COCONUT MILK POWDER  12/300G,185539,35,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,11,Cashew paste,1.0,kg,100,A- SPIXA CASHEW NUTS 1/1KG,404349,10,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,12,Kashmiri chili powder,150.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,1.5,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,13,Salt,200.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,2,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,14,Water,3.0,l,100,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.03,l,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,15,Kasuri methi,80.0,g,100,A-MEHRAN KAUSRI METHILEAVES 12/50G,276502,0.8,g,mapped,
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,16,Fresh coriander,500.0,g,100,CORIANDER LEAVES (BDL),PR000062,5,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,1,Boneless fish fillet Fresh,15.0,kg,100,TAFGA WHITE / HAMOUR FISH FILLET  1/1KG,144669,150,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,2,Lemon juice,1.5,l,100,TFG MOONATY LEMON JUICE 12/1LTR,429366,0.015,l,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,3,Ginger garlic paste,1.2,kg,100,GARLIC  (CHINA),PR000018,12,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,4,Salt,300.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,3,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,5,Red chili powder,250.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,2.5,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,6,Black pepper powder,150.0,g,100,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,185836,1.5,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,7,Turmeric powder,100.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,1,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,8,Paprika,200.0,g,100,A-AL MANAKEL PAPRIKA SWEET JAR  6/1KG,404682,2,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,9,All-purpose flour,4.0,kg,100,A-FOOM WHITE FLOUR 1/45KG,188559,40,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,10,Corn flour,3.0,kg,100,A-AL AMC CORN STARCH 1/25KG,139554,30,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,11,Eggs,20.0,pieces,100,SAEDCO FRESH EGGS MEDIUM 12/30 CT,142110,0.2,pieces,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,12,Water,8.0,l,100,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.08,l,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,13,Baking powder,100.0,g,100,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,182376,1,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,14,Oil for deep frying,15.0,l,100,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,221871,0.15,l,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,15,Lemon wedges,3.0,kg,100,LEMON (AFRICAN/TURKEY),PR000090,30,g,mapped,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,16,Fresh coriander,1.0,kg,100,CORIANDER LEAVES (BDL),PR000062,10,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,1,Firm white fish fillets,17.5,kg,100,RUHI FISH 1/KG,192264,175,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,2,Lemon juice,600.0,ml,100,TFG MOONATY LEMON JUICE 12/1LTR,429366,6,ml,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,3,Garlic paste,300.0,g,100,GARLIC  (CHINA),PR000018,3,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,4,Salt,150.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,1.5,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,5,White pepper powder,50.0,g,100,A-TAFGA FRESHLY WHT PEPPER PDWR 6/16Z,185837,0.5,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,6,Olive oil / Vegetable oil,1.5,l,100,TAFGA OLIVE OIL 12/500ML,185208,0.015,l,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,7,Finely chopped fresh dill or parsley,400.0,g,100,Finely chopped fresh dill or parsley,RCPMIS-V5-010-FINELYCH,4,g,missing_master,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,8,Garlic powder,150.0,g,100,EASTERN GARLIC POWDER 24/200G,401030,1.5,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,9,Onion powder,150.0,g,100,DRY ONION (LOCAL),PR000020,1.5,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,10,Paprika,100.0,g,100,A-AL MANAKEL PAPRIKA SWEET JAR  6/1KG,404682,1,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,11,Dried oregano,50.0,g,100,A-TAFGA FRESHLY OREGANO/ZAATAR LEAVES,194074,0.5,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,12,Salt,100.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,1,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,13,Melted butter,1.0,kg,100,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,10,g,mapped,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,14,Fresh lemon wedges,50.0,pieces,100,LEMON (AFRICAN/TURKEY),PR000090,50,g,mapped,
