recipe_name,recipe_code,matched_source_file,source_servings,source_ingredient_count,upload_ingredient_count,missing_master_count,match_score,name_similarity,token_overlap,needs_review
arabic Mandi Rice KBR-384 ONEGO V3,RCP-063-ARABICMAND-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\arabic Mandi Rice.100 pax.docx,100,18,18,0,2.15,1.0,1.0,
Biryani Rice KBR-384 ONEGO V3,RCP-064-BIRYANIRIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Biryani Rice Recipe. 100 pax.docx,100,5,5,0,2.15,1.0,1.0,
Bukhari Rice KBR-384 ONEGO V3,RCP-065-BUKHARIRIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Bukhari Rice.100 pax.docx,100,20,20,0,2.15,1.0,1.0,
Chickpea Rice KBR-384 ONEGO V3,RCP-066-CHICKPEARI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Chickpea Rice 100 PAX.docx,100,4,4,0,2.15,1.0,1.0,
Chinese Egg Fried Rice KBR-384 ONEGO V3,RCP-067-CHINESEEGG-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Chinese Egg Fried Rice Recipe.100 pax.docx,100,11,11,0,2.15,1.0,1.0,
Cumin Rice KBR-384 ONEGO V3,RCP-068-CUMINRICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Cumin Rice 100 PAX.docx,100,1,1,0,2.15,1.0,1.0,
Green Peas Rice KBR-384 ONEGO V3,RCP-069-GREENPEASR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Green Peas Rice 100 PAX.docx,100,2,2,0,2.15,1.0,1.0,
Plain Kabsa Rice KBR-384 ONEGO V3,RCP-070-PLAINKABSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Plain Kabsa Rice Recipe.100 pax.docx,100,16,16,0,2.15,1.0,1.0,
Plain Pulao Rice KBR-384 ONEGO V3,RCP-071-PLAINPULAO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Plain Pulao Rice 100 PAX.docx,100,1,1,0,2.15,1.0,1.0,
Pulao Rice KBR-384 ONEGO V3,RCP-072-PULAORICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Pulao Rice. 100 pax.docx,100,15,15,1,2.15,1.0,1.0,YES
