item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
GROCERY,369549,369549,TAFGA TANG ORANGE 6/2 KG,EA,39.13155,100,120,none,,,
GROCERY,372862,372862,TAFGA NESCAFE RED MUG INST COFEE 6/200G,EA,31.9555555555556,100,120,none,,,
GROCERY,374218,374218,AFIA EXTRA VIRGIN OLIVE OIL 12/1LTR,EA,50.50035,100,884,none,,,
GROCERY,376366,376366,ALMARAI MILK POWDER F/C 2KG+500G 6/2.5KG,EA,77.44,100,61,milk,,,
GROCERY,378292,378292,A-TFG AL KABEER HASHBROWN POTATO 4/2.5KG,EA,28.75,85,40,none,,,
BEVERAGES,379401,379401,TFG AL RABIE APPLE JUCIE 8/1LTR,EA,4.365,100,120,none,,,
BEVERAGES,379403,379403,TFG AL RABIE FRT C/TAIL JUCIE 8/1LTR,EA,5.875325,100,120,none,,,
BEVERAGES,379404,379404,TFG AL RABIE MANGO JUCIE 8/1LTR,EA,5.86792142857143,100,120,none,,,
BEVERAGES,379405,379405,TFG AL RABIE ORANGE JUCIE 8/1LTR,EA,4.6075,100,120,none,,,
GROCERY,379941,379941,TAJ MAHAL PUNJABI RICE 4/10KG,BAG,60.4106482758621,300,365,none,,,
GROCERY,381884,381884,A-TAFGA LIPTON TEA CATERING PACK 36/100CT,EA,8.89170963302752,100,120,none,,,
GROCERY,381887,381887,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,EA,17.902190625,100,82,none,,,
GROCERY,385486,385486,FRESHLY YELLOW MUSTARD PASTE 12/8OZ,EA,6.86511628959276,100,120,none,,,
GROCERY,386163,386163,A-MELOW INDIAN YELLOW SPLIT CHICK PEAS 1/15KG,KG,5.56080449612403,100,120,none,,,
GROCERY,386761,386761,GOODY PASTA #11 PENNE LISCE 24/500G,EA,4.27718065693431,100,364,wheat,,,
