source_sheet,source_row,item_code,ingredient_name,quantity,unit,unit_cost,amount,status
Sheet1,96,180808,A-TAFGA MELLOW DAL MOONG WHL 1/15KG,90,KG,5.866667,528,converted
Sheet1,97,185208,TAFGA OLIVE OIL 12/500ML,12,EA,11.67905,140.1486,converted
Sheet1,98,185539,COCONUT MILK POWDER 12/300G,35,EA,13.877866,485.7253,converted
Sheet1,99,185818,A-TFG FRESHLY BASIL LEAVES U.S 6/5Z,7,EA,22.438929,157.0725,converted
Sheet1,100,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,36,EA,53.26765,1917.6354,converted
Sheet1,101,185837,A-TAFGA FRESHLY WHT PEPPER PDWR 6/16Z,15,EA,70.552273,1058.2841,converted
Sheet1,102,187167,TAFGA HOMMOS TAHINA 24/380G,85,EA,2.208331,187.7081,converted
Sheet1,103,188559,A-FOOM WHITE FLOUR 1/45KG,630,KG,0.611111,385.0002,converted
Sheet1,104,190082,A-ALMANAKIL SUMAC NO.1 1/KG,4,KG,9.2,36.8,converted
Sheet1,105,191262,A-TFGA LUNA FOUL MEDAMAS 24/400G,187,EA,1.960765,366.663,converted
Sheet1,106,191743,WADI HONEY 12/375-385G,263,EA,6.997343,1840.3011,converted
Sheet1,107,191744,TAFGA SPANISH BLACK OLIVES WHOLE 12/370G,75,EA,5.666736,425.0052,converted
Sheet1,108,191892,TAFGA LUNA RED KIDNEY BEANS 24/400G,68,EA,3.5,238,converted
Sheet1,109,198273,TAFGA M.S.G. 20/400G,17,EA,1.300047,22.1008,converted
Sheet1,110,199838,A-(TAFGA) AFFCO SWEET CORN 6/3KG,32,PAK,15.52675,496.856,converted
Sheet1,111,199922,A-TAFGA AFFCO SWEET CHILLI SAUCE 12/700ML,5,EA,7.66664,38.3332,converted
Sheet1,112,201773,TAFGA CREAM CARAMEL 4/3KG,4,PAK,25.5,102,converted
Sheet1,113,204980,TAFGA LIQ TAHINA 12/1KG,9,EA,36.083344,324.7501,converted
Sheet1,114,213346,BAIDAR POMEGRANATE MOLASSES 12/700G,3,EA,14.583333,43.75,converted
Sheet1,115,218618,TAFGA GOODY WHOLE MUSHROOM 24/400G,143,EA,7.449229,1065.2397,converted
Sheet1,116,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,71,EA,104.273976,7403.4523,converted
Sheet1,117,242795,ALMARAI BUTTER GHEE 6/1600G,13,EA,35.905962,466.7775,converted
Sheet1,118,255114,A-UJAJ ROCK COOKING SALT 1/50KG,450,KG,0.46,207,converted
Sheet1,119,262233,TAFGA NESCAFE CLASIC COFFEE 12/200G,24,EA,19.44125,466.59,converted
Sheet1,120,262241,A-TAFGA NESTLE COFFEEMATE COFE 15/400G,125,EA,8.759678,1094.9597,converted
Sheet1,121,262511,TAFGA GOODY MACARONI ELBOW #33 24/500G,174,EA,4.302311,748.6021,converted
Sheet1,122,265809,GOODY FETTUCCINI 24/450G,81,EA,12.6825,1027.2825,converted
Sheet1,123,266115,A-TFG MAMIA ROSE WATER 12/430ML,36,EA,1.750383,63.0138,converted
Sheet1,124,267491,TAFGA CH/GARDEN MIXED PICKLE 12/1KG,38,EA,9.916668,376.8334,converted
Sheet1,125,271485,TAFGA MAWASIM/BADAR TEA BAG 36/100CT,195,PAK,5.361116,1045.4177,converted
Sheet1,126,273104,A-AFFCO FISH SAUCE 12/700ML,36,EA,4.58335,165.0006,converted
Sheet1,127,275514,TAFGA GOODY VERMICELLI CUT 24/500G,33,EA,4.275836,141.1026,converted
Sheet1,128,275516,A-TAFGA GOODY P/NUT BTR CRMY 12/340G,89,EA,10.282537,915.1458,converted
Sheet1,129,275700,A-TFGA MEHRAN BIRIYANI POWDER 48/50G,295,EA,3.958379,1167.7219,converted
Sheet1,130,275962,TAFGA GOODY MAYONNAISE 12/32Z,42,EA,19.921474,836.7019,converted
Sheet1,131,276502,A-MEHRAN KAUSRI METHILEAVES 12/50G,73,EA,1.667963,121.7613,converted
Sheet1,132,279340,A-TFGA MEHRAN TIKKA MASALA 12/50G,52,EA,3.666671,190.6669,converted
Sheet1,133,279694,AL MARAI EXTRA VIRGIN OLIVE OIL 12/500ML,12,EA,27,324,converted
Sheet1,134,280423,A-TAFGA HB MIXED FRUITS JAM 12/400G,10,EA,8.73,87.3,converted
Sheet1,135,283518,TAFGA KELLOGS CORN FLAKES 8/1KG,32,EA,19.948628,638.3561,converted
Sheet1,136,285358,EASTERN KABSA SPICE MIX 24/200G,28,EA,11.63045,325.6526,converted
Sheet1,137,307316,TFGA ADELCO CHICK PEAS PWDR INDIA 1/15KG,105,KG,4.213724,442.441,converted
Sheet1,138,367022,MAWASIM VINEGAR WHITE 4/3.78LTR,20,EA,8.75045,175.009,converted
Sheet1,139,367989,TAFGA TOMEX FROZEN CAULIFLOWER 4/2.5KG,0,EA,0,0,converted
Sheet1,140,368547,AFIA SUNFLOWER OIL 4/2.9LTR,39,EA,32.999749,1286.9902,converted
Sheet1,141,369548,TAFGA TANG MANGO 6/2 KG,6,EA,39.09585,234.5751,converted
Sheet1,142,369549,TAFGA TANG ORANGE 6/2 KG,42,EA,39.13155,1643.5251,converted
Sheet1,143,372862,TAFGA NESCAFE RED MUG INST COFEE 6/200G,43,EA,31.955556,1374.0889,converted
Sheet1,144,374218,AFIA EXTRA VIRGIN OLIVE OIL 12/1LTR,31,EA,50.500348,1565.5108,converted
Sheet1,145,376366,ALMARAI MILK POWDER F/C 2KG+500G 6/2.5KG,35,EA,77.44,2710.4,converted
Sheet1,146,378292,A-TFG AL KABEER HASHBROWN POTATO 4/2.5KG,4,EA,28.75,115,converted
Sheet1,147,379941,TAJ MAHAL PUNJABI RICE 4/10KG,28,BAG,60.41065,1691.4982,converted
Sheet1,148,381884,A-TAFGA LIPTON TEA CATERING PACK 36/100CT,191,EA,8.89171,1698.3166,converted
Sheet1,149,381887,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,64,EA,17.902191,1145.7402,converted
Sheet1,150,385486,FRESHLY YELLOW MUSTARD PASTE 12/8OZ,213,EA,6.865116,1462.2698,converted
Sheet1,151,386163,A-MELOW INDIAN YELLOW SPLIT CHICK PEAS 1/15KG,540,KG,5.560805,3002.8345,converted
Sheet1,152,386761,GOODY PASTA #11 PENNE LISCE 24/500G,270,EA,4.277181,1154.8388,converted
Sheet1,153,386762,GOODY PASTA #20 SPAGHETTI 24/450,240,EA,4.313105,1035.1452,converted
Sheet1,154,391367,SHAMS SUNFLOWER OIL 2/9LTR,24,EA,65.00125,1560.03,converted
Sheet1,155,392483,NESCAFE CLASSIC COFFEE 12/190G,79,EA,25.3725,2004.4275,converted
Sheet1,156,401030,EASTERN GARLIC POWDER 24/200G,4,EA,9.96835,39.8734,converted
